"","title","author","subject","abstract","meta"
"11","Characterization of the low electric field and zero-temperature two-level-system loss in hydrogenated amorphous silicon","Fabien Defrance, Andrew D. Beyer, Shibo Shu, Jack Sayers, Sunil R. Golwala","Instrumentation and Detectors (physics.ins-det)","Two-level systems (TLS) are an important, if not dominant, source of loss and noise for superconducting resonators such as those used in kinetic inductance detectors and some quantum information science platforms. They are similarly important for loss in photolithographically fabricated superconducting mm-wave/THz transmission lines. For both lumped-element and transmission-line structures, native amorphous surface oxide films are typically the sites of such TLS in non-microstripline geometries, while loss in the (usually amorphous) dielectric film itself usually dominates in microstriplines. We report here on the demonstration of low TLS loss at GHz frequencies in hydrogenated amorphous silicon (a-Si:H) films deposited by plasma-enhanced chemical vapor deposition in superconducting lumped-element resonators using parallel-plate capacitors (PPCs). The values we obtain from two recipes in different deposition machines, 7$\,\times\,10^{-6}$ and 12$\,\times\,10^{-6}$, improve on the best achieved in the literature by a factor of 2--4 for a-Si:H and are comparable to recent measurements of amorphous germanium. Moreover, we have taken care to extract the true zero-temperature, low-field loss tangent of these films, accounting for temperature and field saturation effects that can yield misleading results. Such robustly fabricated and characterized films render the use of PPCs with deposited amorphous films a viable architecture for superconducting resonators, and they also promise extremely low loss and high quality factor for photolithographically fabricated superconducting mm-wave/THz transmission lines used in planar antennas and resonant filters.","Wed, 6 Mar 2024 08:27:53 UTC (1,851 KB)"
"12","Neural network backflow for ab-initio quantum chemistry","An-Jun Liu, Bryan K. Clark","Chemical Physics (physics.chem-ph)","The ground state of second-quantized quantum chemistry Hamiltonians provides access to an important set of chemical properties. Wavefunctions based on ML architectures have shown promise in approximating these ground states in a variety of physical systems. In this work, we show how to achieve state-of-the-art energies for molecular Hamiltonians using the the neural network backflow wave-function. To accomplish this, we optimize this ansatz with a variant of the deterministic optimization scheme based on SCI introduced by [Li, et. al JCTC (2023)] which we find works better than standard MCMC sampling. For the molecules we studied, NNBF gives lower energy states than both CCSD and other neural network quantum states. We systematically explore the role of network size as well as optimization parameters in improving the energy. We find that while the number of hidden layers and determinants play a minor role in improving the energy, there is significant improvements in the energy from increasing the number of hidden units as well as the batch size used in optimization with the batch size playing a more important role.","Tue, 5 Mar 2024 19:37:21 UTC (2,785 KB)"
"13","Collective self-caging of active filaments in virtual confinement","Maximilian Kurjahn, Leila Abbaspour, Franziska Papenfuß, Philip Bittihn, Ramin Golestanian, Benoît Mahault, Stefan Karpitschka","Biological Physics (physics.bio-ph)","Motility coupled to responsive behavior is essential for many microorganisms to seek and establish appropriate habitats. One of the simplest possible responses, reversing the direction of motion, is believed to enable filamentous cyanobacteria to form stable aggregates or accumulate in suitable light conditions. Here, we demonstrate that filamentous morphology in combination with responding to light gradients by reversals has consequences far beyond simple accumulation: Entangled aggregates form at the boundaries of illuminated regions, harnessing the boundary to establish local order. We explore how the light pattern, in particular its boundary curvature, impacts aggregation. A minimal mechanistic model of active flexible filaments resembles the experimental findings, thereby revealing the emergent and generic character of these structures. This phenomenon may enable elongated microorganisms to generate adaptive colony architectures in limited habitats, or guide the assembly of biomimetic fibrous materials.","Tue, 5 Mar 2024 16:25:05 UTC (42,159 KB)"
"14","Spintronic Implementation of UNet for Image Segmentation","Venkatesh Vadde, Bhaskaran Muralidharan, Abhishek Sharma","Emerging Technologies (cs.ET)","Image segmentation plays a crucial role in computer vision applications like self-driving cars, satellite imagery analysis, and medical diagnosis. Implementing these complex deep neural networks on conventional hardware is highly inefficient. In this work, we propose hardware implementation of UNet for segmentation tasks, using spintronic devices. Our approach involves designing hardware for convolution, deconvolution, ReLU, and max pooling layers of the UNet architecture. We demonstrate the synaptic behavior of the domain wall MTJ, and design convolution and deconvolution layers using the domain wall-based crossbar array. We utilize the orthogonal current injected MTJ with its continuous resistance change and showcase the ReLU and max pooling functions. We employ a hybrid simulation setup by coupling micromagnetic simulation, non-equilibrium Green's function, Landau-Lifshitz-Gilbert-Slonczewski equations, and circuit simulation with Python programming to incorporate the diverse physics of spin-transport, magnetization dynamics, and CMOS elements in our proposed designs. We evaluate our UNet design on the CamVid dataset and achieve segmentation accuracies that are comparable to software implementation. During training, our design consumes 43.59pJ of energy for synaptic weight updates.","Tue, 5 Mar 2024 11:13:04 UTC (4,361 KB)"
"15","Greedy receiver for photon-efficient optical communication","Karol Łukanowski","Quantum Physics (quant-ph)","In optical communication the transmitter encodes information into a set of light states defined by the modulation format, selected to accommodate specific channel conditions and to remain sufficiently distinguishable at the output. Various receiver architectures have been designed to improve the demodulation performance, ultimately limited by quantum theory. In this work I introduce a new receiver based on a locally optimal greedy algorithm and apply it to pulse position modulation. The receiver reduces the error probabilities of previously proposed strategies in all signal strength regimes and achieves results comparable with those obtained by numerical optimization of the detection process. In contrast, however, it is conceptually simple and therefore can be scaled to arbitrarily high modulation orders for which numerical methods become intractable. In the photon-starved regime characteristic of deep space optical communication, the greedy receiver approaches the quantum-optimal Helstrom bound on state discrimination error probability. In the regime of few-photon pulses, the error reduction offered over the other methods grows up to an order of magnitude.","Tue, 5 Mar 2024 03:57:54 UTC (385 KB)"
"16","Hybrid quantum programming with PennyLane Lightning on HPC platforms","Ali Asadi, Amintor Dusko, Chae-Yeun Park, Vincent Michaud-Rioux, Isidor Schoch, Shuli Shu, Trevor Vincent, Lee James O'Riordan","Quantum Physics (quant-ph)","We introduce PennyLane's Lightning suite, a collection of high-performance state-vector simulators targeting CPU, GPU, and HPC-native architectures and workloads. Quantum applications such as QAOA, VQE, and synthetic workloads are implemented to demonstrate the supported classical computing architectures and showcase the scale of problems that can be simulated using our tooling. We benchmark the performance of Lightning with backends supporting CPUs, as well as NVidia and AMD GPUs, and compare the results to other commonly used high-performance simulator packages, demonstrating where Lightning's implementations give performance leads. We show improved CPU performance by employing explicit SIMD intrinsics and multi-threading, batched task-based execution across multiple GPUs, and distributed forward and gradient-based quantum circuit executions across multiple nodes. Our data shows we can comfortably simulate a variety of circuits, giving examples with up to 30 qubits on a single device or node, and up to 41 qubits using multiple nodes.","Mon, 4 Mar 2024 22:01:03 UTC (5,483 KB)"
"17","End-to-end variational quantum sensing","Benjamin MacLellan, Piotr Roztocki, Stefanie Czischek, Roger G. Melko","Quantum Physics (quant-ph)","Harnessing quantum correlations can enable sensing beyond the classical limits of precision, with the realization of such sensors poised for transformative impacts across science and engineering. Real devices, however, face the accumulated impacts of noise effects, architecture constraints, and finite sampling rates, making the design and success of practical quantum sensors challenging. Numerical and theoretical frameworks that support the optimization and analysis of imperfections from one end of a sensing protocol through to the other (i.e., from probe state preparation through to parameter estimation) are thus crucial for translating quantum advantage into widespread practice. Here, we present an end-to-end variational framework for quantum sensing protocols, where parameterized quantum circuits and neural networks form trainable, adaptive models for quantum sensor dynamics and estimation, respectively. The framework is general and can be adapted towards arbitrary qubit architectures, as we demonstrate with experimentally-relevant ansätze for trapped-ion and photonic systems, and enables to directly quantify the impacts that noisy state preparation/measurement and finite data sampling have on parameter estimation. End-to-end variational frameworks can thus underpin powerful design and analysis tools for realizing quantum advantage in practical, robust sensors.","Mon, 4 Mar 2024 19:00:04 UTC (428 KB)"
"18","Quantum Frequential Computing: a quadratic run time advantage for all algorithms","Mischa P. Woods","Quantum Physics (quant-ph)","We introduce a new class of computer called a quantum frequential computer. They harness quantum properties in a different way to conventional quantum computers to generate a quadratic computational run time advantage for all algorithms as a function of the power consumed. They come in two variants: type 1 can process classical algorithms only while type 2 can also process quantum ones. In a type-1 quantum frequential computer, only the control is quantum, while in a type 2 the logical space is also quantum. We also prove that a quantum frequential computer only requires a classical data bus to function. This is useful, because it means that only a relatively small part of the overall architecture of the computer needs to be quantum in a type-1 quantum frequential computer in order to achieve a quadratic run time advantage. As with classical and conventional quantum computers, quantum frequential computers also generate heat and require cooling. We also characterise these requirements.","Mon, 4 Mar 2024 19:00:02 UTC (3,714 KB)"
"19","Cooling trapped ions with phonon rapid adiabatic passage","M. I. Fabrikant, P. Lauria, I. S. Madjarov, W. C. Burton, R. T. Sutherland","Quantum Physics (quant-ph)","In recent demonstrations of the quantum charge-coupled device (QCCD) computer architecture, circuit times are dominated by cooling. Some motional modes of multi-ion crystals take orders-of-magnitude longer to cool than others because of low coolant ion participation. Here we demonstrate a new technique, which we call phonon rapid adiabatic passage (phrap), that avoids this issue by coherently exchanging the thermal populations of selected modes on timescales short compared to direct cooling. Analogous to adiabatic rapid passage, we quasi-statically couple these slow-cooling modes with fast-cooling ones using DC electric fields. When the crystal is then adiabatically ramped through the resultant avoided crossing, nearly-complete phonon population exchange results. We demonstrate this on two-ion crystals, and show the indirect ground-state cooling of all radial modes--achieving an order of magnitude speedup compared to direct cooling. We also show the technique's insensitivity to trap potential and control field fluctuations, and find that it still achieves sub-quanta temperatures starting as high as n~200.","Mon, 4 Mar 2024 18:52:14 UTC (864 KB)"
"20","Hybrid Quantum Neural Network Advantage for Radar-Based Drone Detection and Classification in Low Signal-to-Noise Ratio","Aiswariya Sweety Malarvanan","Quantum Physics (quant-ph)","In this paper, we investigate the performance of a Hybrid Quantum Neural Network (HQNN) and a comparable classical Convolution Neural Network (CNN) for detection and classification problem using a radar. Specifically, we take a fairly complex radar time-series model derived from electromagnetic theory, namely the Martin-Mulgrew model, that is used to simulate radar returns of objects with rotating blades, such as drones. We find that when that signal-to-noise ratio (SNR) is high, CNN outperforms the HQNN for detection and classification. However, in the low SNR regime (which is of greatest interest in practice) the performance of HQNN is found to be superior to that of the CNN of a similar architecture.","Mon, 4 Mar 2024 14:26:52 UTC (1,327 KB)"
"21","Hybrid data-driven and physics-informed regularized learning of cyclic plasticity with Neural Networks","Stefan Hildebrand, Sandra Klinge","Materials Science (cond-mat.mtrl-sci)","An extendable, efficient and explainable Machine Learning approach is proposed to represent cyclic plasticity and replace conventional material models based on the Radial Return Mapping algorithm. High accuracy and stability by means of a limited amount of training data is achieved by implementing physics-informed regularizations and the back stress information. The off-loading of the Neural Network is applied to the maximal extent. The proposed model architecture is simpler and more efficient compared to existing solutions from the literature, while representing a complete three-dimensional material model. The validation of the approach is carried out by means of surrogate data obtained with the Armstrong-Frederick kinematic hardening model. The Mean Squared Error is assumed as the loss function which stipulates several restrictions: deviatoric character of internal variables, compliance with the flow rule, the differentiation of elastic and plastic steps and the associativity of the flow rule. The latter, however, has a minor impact on the accuracy, which implies the generalizability of the model for a broad spectrum of evolution laws for internal variables. Numerical tests simulating several load cases are shown in detail and validated for accuracy and stability.","Mon, 4 Mar 2024 07:09:54 UTC (7,897 KB)"
"22","Tunable double notch filter on thin-film lithium niobate platform","Songyan Hou, Hao Hu, Zhihong Liu, Weichuan Xing, Jincheng Zhang, Yue Hao","Optics (physics.optics)","Tunable optical filter at the chip scale plays a crucial role in fulfilling the need for the reconfigurability in channel routing, optical switching, and wavelength division multiplexing systems. In this letter, we propose a tunable double notch filter on thin-film lithium niobate using dual micro-ring architecture. This unique integrated filter is essential for complex photonic integrated circuits, along with multiple channels and various frequency spacing. With only one loaded voltage, the device demonstrates a wide frequency spacing tunability from 16.1 GHz to 89.9 GHz by reversely tunning the resonances of the two micro-rings while the center wavelength between the two resonances remains unaltered. Moreover, by utilizing the pronounced electro-optic properties of lithium niobate, associated with the tight light confinement nanophotonic waveguides, the device demonstrates a spacing tunability of 0.82 GHz/V and a contrast of 10~16 dB. In addition, the device has an ultracompact footprint of 0.0248 mm2.","Sat, 2 Mar 2024 07:48:50 UTC (22,348 KB)"
"23","Dispersive-wave-agile optical frequency division","Qing-Xin Ji, Wei Zhang, Peng Liu, Warren Jin, Joel Guo, Jonathan Peters, Lue Wu, Avi Feshali, Mario Paniccia, Vladimir Ilchenko, John Bowers, Andrey Matsko, Kerry Vahala","Optics (physics.optics)","The remarkable frequency stability of resonant systems in the optical domain (optical cavities and atomic transitions) can be harnessed at frequency scales accessible by electronics using optical frequency division. This capability is revolutionizing technologies spanning time keeping to high-performance electrical signal sources. A version of the technique called 2-point optical frequency division (2P-OFD) is proving advantageous for application to high-performance signal sources. In 2P-OFD, an optical cavity anchors two spectral endpoints defined by lines of a frequency comb. The comb need not be self-referenced, which greatly simplifies the system architecture and reduces power requirements. Here, a 2P-OFD microwave signal source is demonstrated with record-low phase noise using a microcomb. Key to this advance is a spectral endpoint defined by a frequency agile single-mode dispersive wave that is emitted by the microcomb soliton. Moreover, the system frequency reference is a compact all-solid-state optical cavity with a record Q-factor. The results advance integrable microcomb-based signal sources into the performance realm of much larger microwave sources.","Fri, 1 Mar 2024 20:49:31 UTC (16,949 KB)"
"24","Training Computer Scientists for the Challenges of Hybrid Quantum-Classical Computing","Vincenzo De Maio, Meerzhan Kanatbekova, Felix Zilk, Nicolai Friis, Tobias Guggemos, Ivona Brandic","Physics Education (physics.ed-ph)","As we enter the post-Moore era, we experience the rise of various non-von-Neumann-architectures to address the increasing computational demand for modern applications, with quantum computing being among the most prominent and promising technologies. However, this development creates a gap in current computer science curricula since most quantum computing lectures are strongly physics-oriented and have little intersection with the remaining curriculum of computer science. This fact makes designing an appealing course very difficult, in particular for non-physicists. Furthermore, in the academic community, there is consensus that quantum computers are going to be used only for specific computational tasks (e.g., in computational science), where hybrid systems - combined classical and quantum computers - facilitate the execution of an application on both quantum and classical computing resources. A hybrid system thus executes only certain suitable parts of an application on the quantum machine, while other parts are executed on the classical components of the system. To fully exploit the capabilities of hybrid systems and to meet future requirements in this emerging field, we need to prepare a new generation of computer scientists with skills in both distributed computing and quantum computing. To bridge this existing gap in standard computer science curricula, we designed a new lecture and exercise series on Hybrid Quantum-Classical Systems, where students learn how to decompose applications and implement computational tasks on a hybrid quantum-classical computational continuum. While learning the inherent concepts underlying quantum systems, students are obligated to apply techniques and methods they are already familiar with, making the entrance to the field of quantum computing comprehensive yet appealing and accessible to students of computer science.","Fri, 1 Mar 2024 10:14:50 UTC (220 KB)"
"25","XProspeCT: CT Volume Generation from Paired X-Rays","Benjamin Paulson, Joshua Goldshteyn, Sydney Balboni, John Cisler, Andrew Crisler, Natalia Bukowski, Julia Kalish, Theodore Colwell","Image and Video Processing (eess.IV)","Computed tomography (CT) is a beneficial imaging tool for diagnostic purposes. CT scans provide detailed information concerning the internal anatomic structures of a patient, but present higher radiation dose and costs compared to X-ray imaging. In this paper, we build on previous research to convert orthogonal X-ray images into simulated CT volumes by exploring larger datasets and various model structures. Significant model variations include UNet architectures, custom connections, activation functions, loss functions, optimizers, and a novel back projection approach.","Sun, 11 Feb 2024 21:57:49 UTC (417 KB)"
"26","Multi-junction surface ion trap for quantum computing","J.D. Sterk, M.G. Blain, M. Delaney, R. Haltli, E. Heller, A.L. Holterhoff, T. Jennings, N. Jimenez, A. Kozhanov, Z. Meinelt, E. Ou, J. Van Der Wall, C. Noel, D. Stick","Quantum Physics (quant-ph)","Surface ion traps with two-dimensional layouts of trapping regions are natural architectures for storing large numbers of ions and supporting the connectivity needed to implement quantum algorithms. Many of the components and operations needed to fully exploit this architecture have already been demonstrated, including operation at cryogenic temperatures with low heating, low excitation transport, and ion control and detection with integrated photonics. Here we demonstrate a trap that addresses the scaling challenge of increasing power dissipation as the RF electrode increases in size. By raising the RF electrode and removing most of the insulating dielectric layer below it we reduce both ohmic and dielectric power dissipation. We also measure heating rates across a range of motional frequencies and for different voltage sources in a trap with a raised RF electrode but solid dielectric.","Fri, 1 Mar 2024 00:51:38 UTC (8,441 KB)"
"27","An All-Optical General-Purpose CPU and Optical Computer Architecture","Michael Kissner, Leonardo Del Bino, Felix Päsler, Peter Caruana, George Ghalanos","Emerging Technologies (cs.ET)","Energy efficiency of electronic digital processors is primarily limited by the energy consumption of electronic communication and interconnects. The industry is almost unanimously pushing towards replacing both long-haul, as well as local chip interconnects, using optics to drastically increase efficiency. In this paper, we explore what comes after the successful migration to optical interconnects, as with this inefficiency solved, the main source of energy consumption will be electronic digital computing, memory and electro-optical conversion. Our approach attempts to address all these issues by introducing efficient all-optical digital computing and memory, which in turn eliminates the need for electro-optical conversions. Here, we demonstrate for the first time a scheme to enable general purpose digital data processing in an integrated form and present our photonic integrated circuit (PIC) implementation. For this demonstration we implemented a URISC architecture capable of running any classical piece of software all-optically and present a comprehensive architectural framework for all-optical computing to go beyond.","Thu, 29 Feb 2024 15:49:25 UTC (2,392 KB)"
